,ror cf
963,0.634486607
964,0.642578125
965,0.6328125
966,0.670124481
967,0.788802083
968,0.821875
969,0.800521512
970,0.776271186
971,0.700912647
972,0.678226858
973,0.727035491
974,0.75808977
975,0.779749478
976,0.830890052
977,0.838507696
978,0.832898853
979,0.794791667
980,0.820052083
981,0.778125
982,0.753645833
983,0.727604167
984,0.715364583
985,0.68125
986,0.657291667
987,0.65703125
988,0.660416667
989,0.658765303
990,0.738405419
991,0.844293478
992,0.810326087
993,0.798953456
994,0.793825799
995,0.756734469
996,0.780408163
997,0.756629036
998,0.778972208
999,0.746284224
1000,0.744525547
1001,0.748697917
1002,0.693489583
1003,0.722684703
1004,0.724765869
1005,0.72279587
1006,0.724649192
1007,0.705056923
1008,0.708234048
1009,0.668255229
1010,0.677786603
1011,0.684140853
1012,0.68255229
1013,0.682817051
1014,0.728813559
1015,0.738228252
1016,0.700574241
1017,0.728192508
1018,0.74028462
1019,0.743842365
1020,0.782891022
1021,0.796160361
1022,0.762513312
1023,0.780585106
1024,0.769414894
1025,0.800743889
1026,0.770191286
1027,0.765658174
1028,0.768312102
1029,0.738853503
1030,0.70037155
1031,0.725318471
1032,0.8014862
1033,0.700106157
1034,0.688428875
1035,0.667462845
1036,0.692144374
1037,0.716409984
1038,0.755708975
1039,0.807600319
1040,0.80520861
1041,0.806005846
1042,0.770577476
1043,0.770054873
1044,0.77832769
1045,0.775201875
1046,0.765563949
1047,0.771294608
1048,0.771034123
1049,0.744089374
1050,0.781671859
1051,0.742997925
1052,0.803423237
1053,0.765239948
1054,0.688116243
1055,0.664762399
1056,0.655154505
1057,0.673331602
1058,0.686574916
1059,0.739548169
1060,0.702414957
1061,0.774344326
1062,0.789924695
1063,0.786289276
1064,0.793704475
1065,0.787516255
1066,0.777084957
1067,0.804155844
1068,0.731915997
1069,0.790770029
1070,0.859499431
1071,0.793881255
1072,0.748249935
1073,0.824215712
1074,0.810921153
1075,0.798928298
1076,0.794590457
1077,0.777437468
1078,0.759897829
1079,0.777465508
1080,0.778742974
1081,0.76443536
1082,0.714614205
1083,0.693152785
1084,0.64001022
1085,0.637710782
1086,0.665048544
1087,0.682166582
1088,0.68403576
1089,0.680715198
1090,0.680530748
1091,0.687804878
1092,0.675479523
1093,0.675897436
1094,0.690086868
1095,0.686509964
1096,0.680715198
1097,0.694252874
1098,0.684358255
1099,0.691758102
1100,0.682410008
1101,0.673391216
1102,0.679100664
1103,0.663515585
1104,0.668625447
1105,0.665815023
1106,0.677312213
1107,0.676801226
1108,0.669136433
1109,0.678589678
1110,0.693408278
1111,0.662493613
1112,0.660791826
1113,0.672030651
1114,0.673386068
1115,0.686144425
1116,0.691424196
1117,0.687260659
1118,0.675012775
1119,0.676801226
1120,0.686079183
1121,0.734610473
1122,0.795100791
1123,0.722435546
1124,0.694185409
1125,0.763446762
1126,0.756110959
1127,0.686624554
1128,0.793737984
1129,0.667399066
1130,0.648722878
1131,0.648997528
1132,0.694864048
1133,0.648448229
1134,0.750068662
1135,0.75495338
1136,0.735722611
1137,0.717462932
1138,0.749040044
1139,0.768239166
1140,0.779210093
1141,0.685957213
1142,0.664537557
1143,0.665815023
1144,0.705160961
1145,0.765006386
1146,0.788466446
1147,0.732074509
1148,0.685889257
1149,0.688772846
1150,0.686617878
1151,0.673288029
1152,0.683275908
1153,0.69122714
1154,0.677179963
1155,0.677445004
1156,0.706599523
1157,0.721262817
1158,0.681867242
1159,0.714285714
1160,0.697738555
1161,0.803143093
1162,0.784632333
1163,0.71192509
1164,0.693618172
1165,0.73634397
1166,0.770833333
1167,0.791666667
1168,0.797619048
1169,0.786606431
1170,0.780876494
1171,0.7187251
1172,0.705366631
1173,0.706325707
1174,0.758510638
1175,0.669148936
1176,0.664893617
1177,0.708776596
1178,0.70106383
1179,0.679255319
1180,0.662234043
1181,0.659308511
1182,0.694414894
1183,0.721542553
1184,0.758004269
1185,0.737726788
1186,0.770072019
1187,0.774933333
1188,0.76
1189,0.7752
1190,0.765066667
1191,0.770933333
1192,0.766666667
1193,0.761094871
1194,0.807171315
1195,0.809296149
1196,0.815838427
1197,0.753056885
1198,0.691223404
1199,0.671542553
1200,0.681914894
1201,0.669414894
1202,0.691489362
1203,0.767287234
1204,0.715425532
1205,0.728191489
1206,0.801329787
1207,0.786702128
1208,0.789037433
1209,0.780096308
1210,0.795296633
1211,0.824739514
1212,0.818060379
1213,0.812516644
1214,0.784553928
1215,0.748146186
1216,0.76059322
1217,0.812235169
1218,0.81392271
1219,0.797511911
1220,0.824728621
1221,0.791633572
1222,0.767293931
1223,0.677179963
1224,0.702358866
1225,0.682215743
1226,0.680890538
1227,0.678505168
1228,0.723297111
1229,0.7206467
1230,0.696262921
1231,0.777987591
1232,0.78141043
1233,0.783958952
1234,0.789616009
1235,0.788804759
1236,0.785097192
1237,0.780356179
1238,0.764113438
1239,0.745473908
1240,0.73029819
1241,0.73056443
1242,0.719648562
1243,0.72657082
1244,0.706947032
1245,0.71014107
1246,0.685721882
1247,0.701544196
1248,0.685037274
1249,0.676517572
1250,0.688232162
1251,0.685835996
1252,0.68370607
1253,0.661608094
1254,0.670394036
1255,0.691693291
1256,0.692225772
1257,0.71067341
1258,0.712004259
1259,0.706992821
1260,0.687317203
1261,0.687051316
1262,0.68758309
1263,0.690425532
1264,0.692553191
1265,0.700479233
1266,0.683318978
1267,0.685902957
1268,0.683031869
1269,0.678151019
1270,0.661498708
1271,0.634223371
1272,0.625610106
1273,0.647143267
1274,0.648392652
1275,0.640194954
1276,0.631020642
